Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Albany,Bluebird Thinly Cut Sour Cream & Chives Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Albany,Bluebird Thinly Cut Chicken Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Albany,Bluebird Thinly Cut Salt & Vinegar Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Albany,Nice & Natural Tropical & Yoghurt Flavour Chewy Muesli Bars,6 x 30.8g,$1.08/100g,$1.99,$0.00
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Tarragon Leaves,7g,$2.84/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,NERDS Very Berry Gummy Clusters Pouch,35g,$5.69/100g,$1.99,$0.00
PAK'nSAVE Albany,NERDS Rainbow Gummy Clusters,35g,$5.69/100g,$1.99,$0.00
PAK'nSAVE Albany,Eta Uppercuts Wasabi Mayo Potato Chips,130G,$1.53/100g,$1.99,$0.00
PAK'nSAVE Albany,Bluebird Thick Cut Salt & Vinegar Potato Chips,150g,$1.33/100g,$1.99,$0.00
PAK'nSAVE Albany,Eta Ridgies Smoky Bacon & & Cheese Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Mint,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Eco White Sesame Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Chipotle,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Eta Uppercuts Sea Salt Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Fenugreek Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Mixed Spice,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Onion Flakes,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Cloves,35g,$0.57/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Parsley,8g,$2.49/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Everytime Rice Moments Honey & Soy Flavour Thick Rice Crackers,100g,$1.99/100g,$1.99,$0.00
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Basil,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Nutmeg,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Dill,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Rosemary,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Natural Eco Cloves,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Eco Cumin Seeds,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Chinese Five Spice,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Coriander Seeds,21g,$0.95/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Pickling Spice,25g,$0.80/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Garlic Granules,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Mustard Powder,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Chilli Powder,35g,$0.57/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Celery Seeds,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Marjoram,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Caraway Seeds,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Black Peppercorns,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Cayenne Pepper,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Mixed Herbs,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Smoked Paprika,34g,$0.59/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Thyme,15g,$1.33/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Curry Powder,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Garam Masala,35g,$0.57/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Fennel Seeds,26g,$0.77/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Garlic Powder,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Cinnamon,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Paprika,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Italian Herbs,11g,$1.81/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Cumin,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Turmeric,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Chilli Flakes,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Ginger,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Ground Coriander,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Onion Powder Fine,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,Mrs Rogers Naturals Eco Oregano,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Albany,NERDS Very Berry Rope,26g,$7.65/100g,$1.99,$0.00
PAK'nSAVE Albany,NERDS Rainbow Rope,26g,$7.65/100g,$1.99,$0.00
PAK'nSAVE Albany,Eta Uppercuts Sweet Chilli Relish Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Albany,Granny Smith Apples,kg,$1.99/1kg,$1.99,$0.00
PAK'nSAVE Albany,NZ Celery,ea,,$2.00,$0.00
PAK'nSAVE Albany,Morinaga Hi-Chew Tropical Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Albany,Morinaga Hi-Chew Sweet & Sour Mix,90g,$2.43/100g,$2.19,$0.00
PAK'nSAVE Albany,Morinaga Hi-Chew Original Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Albany,Diamond Spaghetti Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Fettuccine Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Spirals Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Penne Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Macaroni Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Lasagna Pasta,375g,$0.61/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Angel Hair Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Boccoli Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Vegetable Spirals Pasta,450g,$0.51/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Seashells Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Wholemeal Spaghetti Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Zoo Animals Pasta,350g,$0.65/100g,$2.29,$0.00
PAK'nSAVE Albany,Farmland Shaved Leg Ham,2 x 75g,$15.27/1kg,$2.29,$0.00
PAK'nSAVE Albany,Diamond Orzo,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Diamond Wholemeal Penne Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Albany,Wattie's Peppa Pig Shapes In Tomato Sauce Pasta Meals,300g,$0.76/100g,3 for $5.00 ($1.67 ea),$0.62 ea
PAK'nSAVE Albany,Wattie's Minion Shapes In Tomato Sauce Pasta Meals,300g,$0.76/100g,3 for $5.00 ($1.67 ea),$0.62 ea
PAK'nSAVE Albany,Farrah's Taco Mild Spice Mix,35g,$6.54/100g,$2.29,$0.00
PAK'nSAVE Albany,Every Time Original Rice Nibbles,120g,$1.91/100g,$2.29,$0.00
PAK'nSAVE Albany,Every Time Tangy BBQ Rice Nibbles,18pk,$1.99/100g,$2.29,$0.00
PAK'nSAVE Albany,Farrah's Nacho Mild Spice Mix,40g,$5.73/100g,$2.29,$0.00
PAK'nSAVE Albany,Farrah's Crispy Chicken Mild Spice Mix,60g,$3.82/100g,$2.29,$0.00
PAK'nSAVE Albany,Farrah's Smoky Chipotle Spice Mix,40g,$5.73/100g,$2.29,$0.00
PAK'nSAVE Albany,Beehive Sweet & Smokey Champagne Shaved Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Albany,Sour Patch Kids Berry Flavoured Sweets,190g,$1.26/100g,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Organic Whole Peeled Tomatoes,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Organic Cherry Tomatoes,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Organic Chopped Tomatoes,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Organic Brown Lentils,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Organic Cannellini Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Mixed Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Organic Chickpeas Garbanzo Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Organic Black Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Ceres Organics Red Kidney Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Albany,Pascall Pineapple Lumps,120g,$1.99/100g,$2.39,$0.00
PAK'nSAVE Albany,Beehive Shaved Beef Pastrami,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Albany,Pascall Passionfruit Pavlova Dessert Lumps,120g,$1.99/100g,$2.39,$0.00
PAK'nSAVE Albany,Beehive Shaved Champagne Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Albany,Beehive Shaved Honey Baked Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Albany,Beehive Shaved Peppered Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Albany,Garlic,7pk,$0.36/ea,2 for $3.00 ($1.50 ea),$0.99 ea
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Sweet & Sticky Pork Ribs,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Sweet Chilli Chicken,145g,$1.72/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Teriyaki Beef,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Gluten Free Sweet & Spicy Minced Beef Ready Sauce,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Butter Chicken,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lay's Stax Sour Cream & Onion Potato Chips,105g,$2.37/100g,$2.49,$0.00
PAK'nSAVE Albany,New Zealand Kettle Korn Salted And Sweet Popcorn,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Gluten Free Cantonese Beef Ready Sauce,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Hoisin Minced Pork,110g,$2.26/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Coconut Curry Vegetables,110g,$2.26/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Black Pepper Beef,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Gluten Free Thai Green Curry Ready Sauce,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Gluten Free Pad Thai Ready Sauce,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Honey & Soy Chicken,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Cantonese Chicken,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Gluten Free Satay Chicken Ready Sauce,110g,$2.26/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Gluten Free Sweet & Sour Pork Ready Sauce,145g,$1.72/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Spicy Chicken (mala) Ready Sauce,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Korean Pork Stir Fry Ready Sauce,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Cantonese Chow Mein,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Albany,Lee Kum Kee Ready Sauce For Lemon Chicken,145g,$1.72/100g,$2.49,$0.00
PAK'nSAVE Albany,Bikano Spicy Coated Peanuts,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Albany,Tasti Choc Drizzle Chewy Muesli Squares,175g,$1.42/100g,$2.49,$0.00
PAK'nSAVE Albany,Tasti Double Choc Chewy Muesli Squares,175g,$1.42/100g,$2.49,$0.00
PAK'nSAVE Albany,Bikano Khatta Mitha,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Albany,Bikano Aloo Bhujia,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Albany,Bikano All Time Mixture,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Albany,Mother Earth Apple & Strawberry Fruit Sticks,152g,$1.64/100g,$2.49,$0.00
PAK'nSAVE Albany,Mother Earth Spinach Apple Blueberry & Banana Vege Fruit Sticks,152g,$1.64/100g,$2.49,$0.00
PAK'nSAVE Albany,Mother Earth Apple & Raspberry Fruit Sticks,152g,$1.64/100g,$2.49,$0.00
PAK'nSAVE Albany,Haday Delicous Light Soy Cooking Sauce,500ml,$0.50/100ml,$2.49,$0.00
PAK'nSAVE Albany,Bluebird Rashuns Party Bag,190g,$1.31/100g,$2.49,$0.00
PAK'nSAVE Albany,Doritos Cheese Supreme Corn Chips,170g,$1.52/100g,$2.59,$0.00
PAK'nSAVE Albany,Doritos Thai Sweet Chilli Corn Chips,170g,$1.52/100g,$2.59,$0.00
PAK'nSAVE Albany,Doritos Nacho Cheese Corn Chips,170g,$1.52/100g,$2.59,$0.00
PAK'nSAVE Albany,Doritos Flamin Hot Cheese Supreme Corn Chips,150g,$1.73/100g,$2.59,$0.00
PAK'nSAVE Albany,Wattie's Medium Salsa Chilli Beans,420g,$0.62/100g,$2.59,$0.00
PAK'nSAVE Albany,Wattie's Mild Chilli Beans,420g,$0.62/100g,$2.59,$0.00
PAK'nSAVE Albany,Wattie's Hot Chilli Beans,420g,$0.62/100g,$2.59,$0.00
PAK'nSAVE Albany,Rutherford & Meyer Garlic & Olive Oil Gourmet Wafers,60g,$4.45/100g,$2.67,$0.00
PAK'nSAVE Albany,Rutherford & Meyer Simply Natural Gourmet Wafers,60g,$4.45/100g,$2.67,$0.00
PAK'nSAVE Albany,Rutherford & Meyer Three Seed Gourmet Wafers,60g,$4.45/100g,$2.67,$0.00
PAK'nSAVE Albany,Sealord Savoury Onion Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Lemon Pepper Flavour Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Smoked Flavour Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Sweet Thai Chilli Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Chunky Style Tuna In Spring Water,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Tomato & Basil Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Chunky Style Tuna In Oil,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Satay Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,Sealord Mayonnaise Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Albany,RJ's Oddfellows Spearmints,200g,$1.35/100g,$2.69,$0.00
