Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Nutmeg,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Dill,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Eta Uppercuts Sea Salt & Balsamic Vinegar Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Rosemary,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Natural Eco Cloves,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Eco Cumin Seeds,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Chinese Five Spice,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Coriander Seeds,21g,$0.95/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Pickling Spice,25g,$0.80/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Garlic Granules,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Mustard Powder,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Chilli Powder,35g,$0.57/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Celery Seeds,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Marjoram,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
