Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Cinnamon,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Paprika,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Italian Herbs,11g,$1.81/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Cumin,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Turmeric,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Ginger,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Coriander,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Oregano,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Eta Uppercuts Sweet Chilli Relish Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,NZ Celery,ea,,$2.00,$0.00
PAK'nSAVE Mt Albert,Pams Standard UHT Milk,1l,$2.49/1L,$2.09,$0.40
PAK'nSAVE Mt Albert,Pams Lite UHT Milk,1l,$2.49/1L,$2.09,$0.40
PAK'nSAVE Mt Albert,Morinaga Hi-Chew Tropical Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Mt Albert,Morinaga Hi-Chew Sweet & Sour Mix,90g,$2.43/100g,$2.19,$0.00
PAK'nSAVE Mt Albert,Morinaga Hi-Chew Original Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Mt Albert,Diamond Spaghetti Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Fettuccine Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Spirals Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Penne Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Macaroni Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Lasagna Pasta,375g,$0.61/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Angel Hair Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Boccoli Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Vegetable Spirals Pasta,450g,$0.51/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Seashells Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Wholemeal Spaghetti Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Zoo Animals Pasta,350g,$0.65/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Farmland Shaved Leg Ham,2 x 75g,$15.27/1kg,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Bow Ties,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Diamond Wholemeal Penne Pasta,500g,$0.46/100g,$2.29,$0.00
